section,metric,baseline,optimized_v1,optimized_v2,optimized_v25,optimized_v3
summary,episodes,380,630,630,377,598
summary,success_rate,0.7842105263157895,0.8507936507936508,0.8539682539682539,0.8647214854111406,0.862876254180602
summary,avg_execution_time,24.196822462583842,22.79836990795438,13.750377932048979,9.62752968499768,1.8710561918973125
summary,std_execution_time,2.3666280395520265,2.0232397921840013,1.6012340231967759,5.597681234524494,1.4601122467424545
summary,avg_tool_calls,3.1447368421052633,3.3142857142857145,3.365079365079365,3.389920424403183,3.3779264214046822
summary,std_tool_calls,0.8170987249675301,0.8530981866185218,0.9127534350079616,1.193601845671876,0.919351447137786
summary,avg_invalid_action_rate,0.04910714285714284,0.0,0.0,0.0,0.0
summary,std_invalid_action_rate,0.10438993895241715,0.0,0.0,0.0,0.0
summary,avg_failed_action_rate,0.13426691729323315,0.14198601662887383,0.14823885109599394,0.2003726158898573,0.14641662685140952
summary,std_failed_action_rate,0.17200473966722707,0.18680804702296833,0.1907885835378177,0.19478704378891937,0.18933036263014738
summary,avg_cache_hit_rate,0.0,0.0,0.0,0.0,0.0
summary,std_cache_hit_rate,0.0,0.0,0.0,0.0,0.0
summary,avg_total_steps,3.5973684210526318,3.461904761904762,3.507936507936508,3.519893899204244,3.511705685618729
summary,std_total_steps,0.9628965871382899,0.7980358582036763,0.8602328200588414,1.1985150339420119,0.8657043299740356
summary,avg_reward,5.065789473684174,5.896825396825337,5.838888888888828,5.725596816976104,5.896822742474857
summary,std_reward,3.61352095273825,3.178792166153992,3.19564046794274,3.2076933328892556,3.118993782685906

section,comparison,metric,from,to,absolute_change,percent_change
comparison,optimized_v1 - baseline,success_rate,baseline,optimized_v1,0.0665831244778613,8.4904655374454
comparison,optimized_v1 - baseline,avg_execution_time,baseline,optimized_v1,-1.3984525546294613,-5.779488429904066
comparison,optimized_v1 - baseline,avg_tool_calls,baseline,optimized_v1,0.16954887218045123,5.391512253436943
comparison,optimized_v1 - baseline,avg_invalid_action_rate,baseline,optimized_v1,-0.04910714285714284,-100.0
comparison,optimized_v1 - baseline,avg_failed_action_rate,baseline,optimized_v1,0.007719099335640689,5.749070203781107
comparison,optimized_v1 - baseline,avg_cache_hit_rate,baseline,optimized_v1,0.0,
comparison,optimized_v1 - baseline,avg_total_steps,baseline,optimized_v1,-0.13546365914786973,-3.7656320758003283
comparison,optimized_v1 - baseline,avg_reward,baseline,optimized_v1,0.8310359231411626,16.404864976293197
